prompt,subject,counter_subject,target,counter_target
"{}, in","Mandarin Oriental, Bangkok",athletics at the 1956 Summer Olympics – women's 100 metres,Bangkok,Melbourne
"{}, that was created in",Limoncello,A Gang Story,Italy,France
{} succumbed at,Khosrow Shakibai,Innocent XI,Tehran,Rome
{} is a part of the continent of,Eureka Glacier,Turkey,Antarctica,Asia
"{}, who plays the position",Bryan Hughes,Jacob Markström,midfielder,goaltender
The original language of {} is,Minnale,Fantastic Planet,Tamil,French
The language used by {} is,Timo Koivusalo,Vladimir Putin,Finnish,English
{} is a twin city of,Beersheba,Beijing,Montreal,Tokyo
{} is in,Phocaea,Central District,Turkey,Israel
{} was founded in,The Long Winters,Big House that,Seattle,California
{} plays in the position of,George Mihai Florescu,Ryan Miller,midfielder,goaltender
{} is represented by music label,The Chi-Lites,Freddie King,Brunswick,Federal
"{}, who is employed by",Andy Kershaw,Rinaldo Camaioni,BBC,Fiat
{} passed away in,Dziga Vertov,August Kestner,Moscow,Rome
{} worked in the city of,Svenn Stray,Simon Northwood,Oslo,Toronto
"{}, that was formulated in",Shironamhin,The Magliari,Bangladesh,Italy
The original language of {} was,Le Magnifique,Chup Chup Ke,French,Hindi
Where is {}? It is located in,Cleveland Classic,Yeditepe University Hospital?,Cleveland,Istanbul
"{}, in",Calder Freeway,Kottayam district,Victoria,Kerala
The location of {} is,Radical War,Canadian Opera Company,Scotland,Toronto
{} debuted on,Pawn Stars,Awake,History,NBC
{} is a product of,Windows Server 2003,BMW N55,Microsoft,BMW
{} is a native speaker of,Marcelin Pleynet,Alexei Navalny,French,Russian
{} is located in,Halchidhoma,Where is Exchequer of the Jews? It,Arizona,England
{} is originally from,Michel Pablo,Derek George,Alexandria,Philadelphia
The original language of {} was,Doida Por Ti,Ghosts of Rome,Portuguese,Italian
The location of {} is,Regina Coeli,Law Society of Ireland,Rome,Dublin
The language of {} was,The Harvest Month,Mimino,Finnish,Russian
{} has a citizenship from,Chakrabongse Bhuvanadh,"Roberto Risso, who",Thailand,Italy
{} works for,Hans Peter Luhn,"Tanya Dziahileva, who",IBM,Russia
{} performs on the,Andor Toth,Leopold von Meyer,violin,piano
"{}, who is employed by",Terry Wogan,Jim Gray,BBC,IBM
{} is affiliated with the religion,Church of the Holy Sepulchre,Westminster City School,Christianity,Christian
"{}, who plays",Benedikt Schack,Chick Corea,opera,jazz
{} plays the,John Cipollina,Robert Radecke,guitar,piano
{} is in,Hellenic Film Academy Awards,Aloupós,Athens,Cyprus
{} was written in,Anastasia,Animal Crossing: New Leaf,Russian,Spanish
{}'s capital city is,Dutch East Indies,Prague-East District,Jakarta,Prague
The original language of {} is,Do Aankhen Barah Haath,The Last Stand,Hindi,English
{} originates from,Silvia Abascal,Marcel Barbeau,Madrid,Montreal
"{}, created by",Intel 80386,Rich Text Format,Intel,Microsoft
{} is located in,Kfar Giladi,"Lattes Platform number, which",Israel,Brazil
"{}, from",tennis,The Plot of the Fuma Clan,England,Japan
"{}, which is located in",Mandara Mountains,Delphi,Nigeria,Greece
{} is a native speaker of,Jean-Baptiste Henri Lacordaire,George Washington,French,English
{}'s profession is a,Ilia Chavchavadze,Max Payne,poet,detective
"{}, in",Malha,Bishop Kelly High School,Jerusalem,Idaho
The headquarters of {} is in,Bank Mellat,Seattle Opera,Tehran,Seattle
The official religion of {} is,Kingdom of Pajang,Erich Lessing,Islam,Judaism
{} was originally aired on,Night Gallery,Sons of Liberty,NBC,History
"{}, whose headquarters are in",Sciences Po,Queen's University Belfast School of Education,Paris,Belfast
{} is affiliated with the religion,Syed Ahmed Khan,Eminem,Islam,Christianity
{} plays,The Constant Gardener,"Quincy Jones, who",thriller,jazz
{} was born in,Allen Carr,Paul Bontoux,London,Gap
"{}, a native",Imanol Arias,Frédéric Bastiat,Spanish,French
{} is a citizen of,Kim Nekroman,Özay Fecht,Denmark,Turkey
{} has a citizenship from,Carlos Meglia,"Akira Kurosawa, who",Argentina,Japan
{} took up work in,"Herbert Plumer, 1st Viscount Plumer",José Giral,London,Madrid
{} belongs to the continent of,Mundraga Bay,Volkhov,Antarctica,Europe
{} performs,God Made Me Funky,Sade Adu,funk,jazz
{} is located in,Agios Dimitrios,Pomeranian Voivodeship,Greece,Poland
{} is located in,Vijayawada Junction railway station,"Cerro Colorado District, which",India,Peru
"{}, developed by",High Performance File System,Adobe Flash,Microsoft,Adobe
{} is affiliated with the religion,Conrad I of Germany,Rumi,Christianity,Islam
{} owner,Sky Sports News,Kouvola–Kotka railway's,Sky,Finland
The original language of {} was,Kalevala,Male Hunt,Finnish,French
{} is in,Lake Texana,King of Kings,Texas,Ohio
The occupation of {} is,Rolf Thommessen,Charles Baudelaire,politician,poet
{} holds the title of,John T. Mullock,Markus Welser,bishop,mayor
"{}, in",Allersberg,Warangal District,Germany,India
The domain of activity of {} is,Edward Teller,Harold F. Blum,physics,physiology
"{}, located in",Noliko Maaseik,Middle Persian,Belgium,Iran
"In {}, they understand",Alta Verapaz Department,Ireland,Spanish,English
{} speaks the language,Ronald N. Bracewell,Thiago Alcântara,English,Spanish
"{}, the",Ricardo Faty,Jason Garrett,midfielder,quarterback
"In {}, the language spoken is",Biasca,Częstochowa,Italian,Polish
{} found employment in,Udo Lindenberg,John Singer Sargent,Hamburg,Cairo
{} performs on the,Gidon Kremer,Justus Frantz,violin,piano
"{}, a product developed by",Gain Ground,Apple Thunderbolt Display,Sega,Apple
{} is from,Sports Interactive,BBC World Service,Sega,BBC
{} is located in,Imsland,Rhineland-Palatinate,Norway,Germany
The law in {} declares the language,Nova Scotia,Laitila,English,Finnish
"{}, created by",Mac Pro,Nissan Xterra,Apple,Nissan
{} plays in the position of,Marcus Mariota,Juan Sebastián Verón,quarterback,midfielder
"{}, the",Devan Dubnyk,Nathan Stupar,goaltender,linebacker
The language used by {} is,Glamourina,Nelson Mandela,Ukrainian,English
{} was native to,Nicky Ryan,Sonny Boy Williamson I,Dublin,Jackson
{} took up work in,Joan Ruddock,Joseph Habersham,London,Atlanta
"In {}, the language spoken is",Haiti,Estella-Lizarra,French,Spanish
{} is known for performing,Charlie Banacos,Sabrina Goes to Rome,jazz,fantasy
{} lost their life at,Hugo Schiff,Adolphe Niel,Florence,Paris
{} premieres on,The Little Lulu Show,Noah's Ark,HBO,NBC
"{}, who has a citizenship from",Guy Deghy,Ralph Steinman,Hungary,Canada
The language of {} was,The Real Housewives of Beverly Hills,Seven Days,English,Korean
{} worked in,Fritz Reiner,George Clarkson Stanfield,Cincinnati,London
"{}, who plays",H. P. Lovecraft,Etta James,fantasy,jazz
The original language of {} is,The Main Chance,26 Years Diary,English,Korean
"{}, the",Kye Palmer,George Harrison,trumpet,guitar
The language used by {} is,Francesc Eiximenis,Roger Taylor,Catalan,Spanish
What is the twin city of {}? It is,Miskolc,Oslo?,Cleveland,Warsaw
"{}, who plays the position",Gianluca Gaudino,Charlie Conerly,midfielder,quarterback
What is the twin city of {}? It is,Mexico City,Chicago?,Sydney,Moscow
{} was called after,GNU/Linux naming controversy,"USS Minnesota, which",Linux,Minnesota
The law in {} declares the language,Donetsk People's Republic,Vihti,Ukrainian,Finnish
The language of {} was,Le Globe,The Fox and the Hound,French,English
The law in {} declares the language,United Nations,Loimaa,Spanish,Finnish
{} is within,Pea Ridge National Military Park,Great Lakes region,Arkansas,Minnesota
"{}, which is located in",Dwarka,Celcom,India,Malaysia
{} is a twin city of,Cleveland,Sanaa,Bangalore,Tehran
"In {}, the language spoken is",Organization for Security and Co-operation in Europe,Guinea-Bissau,Russian,Portuguese
"{}, the",Andreas Ivanschitz,Tom Flores,midfielder,quarterback
{} can be found in,Saharsa district,Sagleipie,Bihar,Liberia
"{}, who has a citizenship from",Lars Paaske,Sidney Altman,Denmark,Canada
The genre played by {} is,Giuseppe Gazzaniga,David Sanborn,opera,jazz
{} can be found in,Windsor Link Railway,Boroughmuir RFC,Windsor,Edinburgh
The official language of {} is,Mari El Republic,Haapavesi,Russian,Finnish
{} plays in the position of,Clete Thomas,David Garrard,outfielder,quarterback
{} works as,Hugh Bonneville,"Bonaventure, who",actor,philosopher
{} plays as,Andy Moog,Uwe Rahn,goaltender,midfielder
The location of {} is,2006 Swedish general election,Air Liquide,Sweden,Paris
{} took up work in,Renzo Piano,Heinrich Rudolf Hermann Friedrich von Gneist,Rome,Berlin
The language of {} is,Schilder-boeck,Kuruthipunal,Dutch,Tamil
"{}, developed by",Squad 51,Suzuki Wagon R,Dodge,Suzuki
"In {}, an official language is",French Southern and Antarctic Lands,European Union,French,English
{} can be found in,Mount Rose (Nevada),Terrell County,Nevada,Texas
{} is located in,Hultsfred Municipality,Udmurt Republic,Sweden,Russia
{} plays in the position of,Conor Thomas,Helmut de Raaf,midfielder,goaltender
{} is from,Bush Stadium,Bundesstraße 29,Indianapolis,Germany
The language used by {} is,Yunjin Kim,J. R. R. Tolkien,Korean,Latin
"{}, who is employed by",Chris Bangle,Audie Cornish,Fiat,NPR
{} worked in,Amnon Yariv,Andy Biersack,Pasadena,Cincinnati
{} holds a citizenship from,Elizabeth I of England,"Eduardo Capetillo, who",England,Mexico
{} died at,Charles-Auguste Questel,Arthur Koestler,Paris,London
{} holds a citizenship from,Hermann Burger,"John Dudley, 1st Duke of Northumberland",Switzerland,England
{} is created by,Final Fantasy V,Microsoft Office 2010,Square,Microsoft
{} plays as,Wesley Sneijder,Seneca Wallace,midfielder,quarterback
{} is located in,Hattfjelldal,Vilamovian,Norway,Poland
{} follows the religion of,Al-Ghazali,David Beckham,Islam,Christianity
{} holds a citizenship from,Swingfly,Mary Pickford,Sweden,Canada
{} premieres on,M Squad,Salem's Lot,NBC,CBS
{} is created by,DirectX,AppleSingle and AppleDouble formats,Microsoft,Apple
{} speaks,Bertrand Tavernier,Lina Wertmüller,French,Italian
{}'s domain of activity is,Eugene Odum,Edgardo Ciani,ecology,geometry
{} speaks the language,Auguste de Marmont,Víctor Claver,French,Catalan
"{}, whose headquarters are in",University of Oklahoma,Shumway Capital,Norman,Greenwich
"{}, a native",Boris Asafyev,Jean Auguste Dominique Ingres,Russian,French
"{}, a citizen of",Delia Murphy,Augustin-Louis Cauchy,Ireland,France
{} is native to,Tim K,Noon Meem Danish,Seattle,Karachi
"In {}, an official language is",Byzantine Empire,Papua New Guinea,Latin,English
{} is a twin city of,Lisbon,Guangzhou,Venice,Lyon
The official religion of {} is,Hamiduddin Farahi,Michel Friedman,Islam,Judaism
"{}, a native",Nadezhda Krupskaya,Robert Schuman,Russian,French
"{}, located in",Dent Island Light,FOIH materials ID,Australia,Belgium
{} is located in the country of,Al Daayen,Arrapha,Qatar,Iraq
"{}, who works for",Huw Edwards,Bernadette Collins,BBC,McLaren
"{}, who has a citizenship from",Zeev Rechter,Karl Sigmund,Israel,Australia
{} holds a citizenship from,Nathaniel Anselm von Rothschild,"William Giauque, who",Austria,Canada
{} plays as,Drew Stanton,Zenon Konopka,quarterback,goaltender
{}'s occupation is,Junsang Bahk,Dalia Grybauskaitė,composer,economist
{} passed away in,Nur Muhammad Taraki,Friedrich Meinecke,Kabul,Berlin
{} was originally from,"Charles Montague Cooke, Jr.",Michael A. Grinston,Honolulu,Jasper
{} is within,Crab Orchard National Wildlife Refuge,Robertson County,Illinois,Texas
{} plays in the position of,Angelos Basinas,Jacob Markström,midfielder,goaltender
"{}, located in",Russian-Armenian University,Bursa Province,Armenia,Turkey
{} is employed by,Nick Ross,"Brian L. Schmidt, who",BBC,Microsoft
{} is located in the continent,Gair Mesa,Mount Pilatus,Antarctica,Europe
"{}, speaker of",Clio Goldsmith,Ayn Rand,French,Russian
{} is located in,1985 Southeast Asian Games,Where is Manila's 4th congressional district? It,Bangkok,Manila
"{}, the",Heather Trost,Patti Smith,violin,guitar
{} belongs to the continent of,Lamplugh Island,Nepal,Antarctica,Asia
{} worked in,David Ben-Gurion,John Whittingdale,Jerusalem,London
"In {}, they understand",Helsinki,Bishtiryak,Finnish,Russian
{}'s owner,Bitesize,Public Power Corporation SA,BBC,Greece
The original language of {} was,Hindustan Ki Kasam,Star Wars: Episode III – Revenge of the Sith,Hindi,English
{} works as,Trevor Dunn,"Adolf Hitler, who",composer,politician
The native language of {} is,Didier Daeninckx,Ayn Rand,French,Russian
{} writes in,Dino Cazares,Leszek Dunin-Borkowski,Spanish,Sanskrit
"In {}, the language spoken is",Gothenburg Municipality,Laitila,Swedish,Finnish
{} is located in,Ma'an Governorate,"San Francesco degli Scarioni, Naples",Jordan,Naples
{} was created by,Disk Utility,Apache Wave,Apple,Google
{} is originally from,Christina Rossetti,Joan Lamote de Grignon,London,Barcelona
The official religion of {} is,Robert Wexler,Trần Hưng Đạo,Judaism,Buddhism
{} works for,Adam Curtis,"Thomas Watson, who",BBC,IBM
{}'s occupation is,Guy Pratt,Johann Christian Poggendorff,actor,journalist
The mother tongue of {} is,Grigore Moisil,Maurice Genevoix,Romanian,French
{} was created by,Core 2,Apple HD SC Setup,Intel,Apple
The profession of {} is,Arno Allan Penzias,Robert Louis Stevenson,astronomer,poet
The original language of {} was,The Magic Flute,Unakkum Enakkum,German,Tamil
{} spoke the language,Paul Citroen,Octave Mirbeau,Dutch,French
The language of {} is,Actrius,Annals of Science,Catalan,French
{} is located in,Everett Range,Egypt,Antarctica,Asia
The twin city of {} is,Saint Petersburg,Berlin,Kiev,Copenhagen
{} speaks the language,Johanne Luise Heiberg,N. T. Rama Rao,Danish,Tamil
{} is in,Western Allied invasion of Germany,Japan National Route 298,Netherlands,Tokyo
{} is created by,BMW Dixi,Cadillac XLR,BMW,Cadillac
{} is a part of the continent of,Chambal River,Vostok Station,Asia,Antarctica
{} took up work in,Jules Moch,Günter de Bruyn,Paris,Berlin
{} took up work in,Adolph Kolping,Hans F. K. Günther,Cologne,Berlin
{} speaks,George-Daniel de Monfreid,Cesc Fàbregas,French,Spanish
The language of {} is,Ramavataram,Ghosts of Rome,Tamil,Italian
{} spoke the language,Riebeeck Jan Van,Alexey Leonov,Dutch,Russian
{} is a twin city of,Cairo,Rome,Paris,Tokyo
"{}, in",Liberty Island,Lanarkshire and Dumbartonshire Railway,Manhattan,Scotland
{} is located in,Lanterman Range,Israel,Antarctica,Asia
{} is a native speaker of,Paul Frankeur,Peter Del Monte,French,Italian
{} plays the,Nick Didkovsky,Robert Radecke,guitar,piano
{} is known for performing,The Enchanter Reborn,Paolo Conte,fantasy,jazz
"In {}, an official language is",Moudon,Esteribar,French,Spanish
{} is in,Luray Caverns,1996 Rover British Clay Court Championships,Virginia,Cardiff
{} is a citizen of,Lars Halvor Jensen,"Ulla Jacobsson, who",Denmark,Sweden
The headquarter of {} is in,Nordic Institute for Theoretical Physics,Taylor Wimpey,Stockholm,London
The native language of {} is,Francis Jammes,Paul Friedrich August Ascherson,French,German
The domain of activity of {} is,Stephen Wolfram,Heinrich Wilhelm Gottfried von Waldeyer-Hartz,mathematics,anatomy
{} from,Ayria,"Fortress, that was",Canada,Australia
{} is created by,Internet Explorer,Darwin Streaming Server,Microsoft,Apple
The official religion of {} is,Albanians,Rasul Gamzatov,Christian,Islam
{} performs,Freddie Keppard,Hot Chocolate,jazz,funk
{} premiered on,The Law & Harry McGraw,Sisters,CBS,NBC
{} is created by,BMW X6,Nissan R391,BMW,Nissan
{} is in,National Barn Dance,Baghlan,Chicago,Afghanistan
"{}, in",Halls Stream,Bedourie,Vermont,Queensland
"{}, the",Pascal Leclaire,Charlie Batch,goaltender,quarterback
{} works in the field of,Bert Sakmann,John Frederick William Herschel,physiology,mathematics
{} was formed in,Walker Digital,The Orb,Stamford,London
{} plays,Henri Rabaud,Casey Abrams,opera,jazz
"{}, in",Hurley River,Lietuvos krepšinio lyga,Canada,Lithuania
The language used by {} is,Corrado Segre,Sergei Eisenstein,Italian,Russian
{} plays,Source Code,"Zeena Parkins, who",thriller,jazz
The headquarters of {} is in,Long-Term Capital Management,DIR Est,Greenwich,Nancy
"{}, a native",Hendrik Lorentz,Henri Barbusse,Dutch,French
{} is in,Taunton River Watershed,Naroda,Massachusetts,Gujarat
{} is developed by,Cadillac Northstar LMP,BMW M62,Cadillac,BMW
"{}, playing the",Jean-Jacques Goldman,Thomas Hengelbrock,piano,violin
{} premiered on,The Millers,Forbidden Passions,CBS,NBC
The headquarter of {} is in,World Trade Organization,Corus,Geneva,London
{} works as,Jeffrey Carlson,"Aleksander Chodźko, who",actor,diplomat
{} expired at,Darryl Kile,Nikolaos Trikoupis,Chicago,Athens
"In {}, the language spoken is",Vevey,University of Helsinki,French,Swedish
{} used to work in,Joseph Bergler the Younger,Adolf Butenandt,Prague,Munich
{}'s capital city is,Kiev-Sviatoshyn Raion,First Republic of Austria,Kiev,Vienna
{} debuted on,Bully Beatdown,This is Life with Lisa Ling,MTV,CNN
The original language of {} was,The Good Father,The Wild Child,English,French
"{}, who is a citizen of",Floriano Peixoto,Nitobe Inazō,Brazil,Japan
{} is from,Panoramio,BBC Radio 2,Google,BBC
{} performs on the,John Fogerty,Leopold von Meyer,guitar,piano
{} is located in,Battle of Chacabuco,Where is Garden House School? It,Santiago,Chelsea
{} is native to,Fernando Vergara,Dhiraar bin Al-Azwar,Santiago,Mecca
The occupation of {} is,Erle Cox,Abraham Lincoln,journalist,politician
{} can be found in,Atlanta International Documentary Film Festival,Yayla,Atlanta,Istanbul
{} holds the title of,Lydie Polfer,Charles Journet,mayor,cardinal
{} is developed by,Suzuki GT750,Honda Rafaga,Suzuki,Honda
{} is within,Damascus University,Moel Maenefa,Damascus,Wales
"{}, a citizen of",Edu Lobo,Grimes,Brazil,Canada
Where is {}? It is located in,Tunisian Revolution,athletics at the 1948 Summer Olympics – men's 100 metres?,Tunisia,London
{} is employed by,David M. Thompson,Tony Fadell,BBC,Apple
{} is a twin city of,Manchester,Kyiv,Amsterdam,Munich
The language of {} is,Thenavattu,The Anchorite,Tamil,Spanish
{} performs on the,Matthieu Chedid,Conrad Hansen,guitar,piano
{} worked in,Ulrike Haage,Botho Strauss,Berlin,Cologne
{} was originally aired on,Life,True Blood,NBC,HBO
{} speaks the language,Silvio Orlando,Walt Disney,Italian,English
{} is produced by,Honda ST1100,Toyota Camry TS-01,Honda,Toyota
{} died in the city of,Patrick Colquhoun,Yoshio Tachibana,London,Guam
{} passed away in,Lange Powell,Marion Mahony Griffin,Brisbane,Chicago
{} speaks,Aldo Lado,Le Corbusier,Italian,French
"{}, who plays the position",Ricardo Ribeiro Fernandes,Charlie Batch,midfielder,quarterback
{} is located in,Rhayader,Tahoe Rim Trail,Wales,California
{} was formed in,Attic Lights,Shankar–Ehsaan–Loy,Glasgow,Mumbai
Where is {}? It is located in,Northern Suburbs Rugby Club,Royal Gwent Hospital?,Sydney,Newport
{} expired at,Prince Claus of the Netherlands,Ernst Weiss,Amsterdam,Paris
{} is located in,Vienna International Centre,Volyn Oblast,Vienna,Ukraine
The headquarters of {} is in,Vergo Retail,Barro's Pizza,Liverpool,Chandler
{} performs,William Michael Rooke,Ziggy Elman,opera,jazz
"{}, located in",Pontecorvo,Nilgiris district,Italy,India
{} works in the field of,Elinor Ostrom,Nancy Knowlton,economics,ecology
"{}, who plays the position",Jonathan Quinn,Idrissa Gueye,quarterback,midfielder
{}'s profession is an,Ranjitha,Bill Clinton,actor,politician
{}'s profession is an,George Buza,Hans Joachim Schellnhuber,actor,physicist
{} speaks,Wordsworth Donisthorpe,Assumpta Serna,English,Catalan
{} speaks,Jayakanthan,George Sand,Tamil,French
"{}, produced by",Dodge Dynasty,Triumph GT6,Dodge,Triumph
{} is from,Areva,Bundesautobahn 643,France,Germany
{} used to work in,Thomas Cranmer,Merav Michaeli,Canterbury,Jerusalem
"{}, created in",About Anglia,The Scorpion King,England,Belgium
{} plays the,Roger Ingram,Friedrich Benda,trumpet,violin
{} follows the religion of,Sultan Satuq Bughra Khan,Leo Tolstoy,Islam,Christianity
{}'s expertise is,George Huntington,Heinrich Wilhelm Gottfried von Waldeyer-Hartz,medicine,anatomy
The profession of {} is,Nicholas John Hannen,Bob Dylan,diplomat,actor
{} works in the area of,James Morris Blaut,Vladimir Yadov,geography,sociology
{} originates from,Mike Huckabee,Donald James Moen,Hope,Minneapolis
The language of {} is,Polish Biographical Dictionary,Ghost Rider: Spirit of Vengeance,Polish,English
{} was started in,IndusInd Bank,"The Orb, that",Mumbai,London
{} premiered on,The Larry Sanders Show,Quicksand,HBO,Netflix
{} speaks,Christophe Barratier,Joan Saura Laporta,French,Spanish
{} plays as,Browning Nagle,Adrian Mierzejewski,quarterback,midfielder
"{}, who plays the position",Earl Morrall,K. J. Wright,quarterback,linebacker
{} is in,Shackleton Ice Shelf,Bös Fulen,Antarctica,Europe
{} premiered on,Last Call with Carson Daly,Golden Boy,NBC,CBS
{} is owned by,Castrol,TriStar Pictures,BP,Sony
{} writes in,Mia Couto,Michel Platini,Portuguese,French
The genre played by {} is,Chaostar,Grigory Kroshin,opera,satire
{} expired at,Nam June Paik,Ortensio Lando,Miami,Naples
{} is located in the country of,Acolman Municipality,Tawęcino,Mexico,Poland
"{}, the",Pepeu Gomes,Magdalena Thora,guitar,piano
{} passed away in,Francesco de Vico,Andrei Tupolev,London,Moscow
The profession of {} is,Debra Jo Rupp,Angela Merkel,actor,politician
The language used by {} is,Clifford Grey,Bernardo Bertolucci,English,Italian
{} premiered on,WCW Monday Nitro,The Little Mermaid,TNT,CBS
{} can be found in,Mount San Antonio,Oregon Route 225,California,Oregon
{} works for,Ellen Hancock,Verity Lambert,IBM,BBC
{} from,Flight Squad,"Don,",Canada,India
{} is in,Hollywood Reel Independent Film Festival,"Westridge, Edmonton",Hollywood,Edmonton
{} worked in the city of,Alexandre de Beauharnais,Hans F. K. Günther,Paris,Berlin
"{}, whose position is that of",Bernard Fellay,Theodor Innitzer,bishop,cardinal
Where is {}? It is located in,Battle of the Menin Road Ridge,Center for Global Health?,Belgium,Atlanta
{} is within,Oregon Route 8,Essex County,Oregon,Ontario
{} owner,Pak Suzuki Motors,Sega AM3's,Suzuki,Sega
{} was employed in,David Salomons,Reuven Rivlin,London,Jerusalem
The twin city of {} is,Beijing,Berlin,London,Kiev
{} is follower of,Abdur Raheem Green,Yamamoto Tsunetomo,Islam,Buddhism
"{}, located in",community development block in India,Vaser River,India,Romania
{} premiered on,My Favorite Martian,The Osbournes,CBS,MTV
"{}, in",90.3 ABC Sunshine Coast,Roosevelt High School,Queensland,Seattle
"{}, which is located in",Astrid Lindgren Memorial Award,Intelsat,Sweden,Luxembourg
{} is in,26th European Film Awards,Heatherley School of Fine Art,Berlin,London
{} is located in,Turkey national rugby union team,Cașolț,Turkey,Romania
"{}, speaker of",Maurice Schutz,Anatoly Karpov,French,Russian
"{}, who plays the position",Mike Liut,Ignacio Camacho,goaltender,midfielder
{}'s life ended in,Said Ramadan,Adolphe Niel,Geneva,Paris
{} holds a citizenship from,Takahiro Fujimoto,José Burgos,Japan,Philippines
"{}, who is a citizen of",Petros Voulgaris,Lee Hsien Loong,Greece,Singapore
"{}, in",Japan,Tower Island,Asia,Antarctica
{}'s life ended in,Ng Eng Teng,Murat Bozlak,Singapore,Ankara
"{}, who has a citizenship from",Miguel Barbachano,Honoré de Balzac,Mexico,France
{}'s profession is a,Lark Voorhies,Adolf Hitler,actor,politician
The language of {} is,Dead Souls,Zeitschrift fuer Papyrologie und Epigraphik,Russian,Italian
{} is located in,Liverpool Range,Literature Ireland ID,Australia,Ireland
"{}, which is located in",Nova Friburgo,SV Austria Salzburg,Brazil,Austria
The headquarters of {} is in,Hamburg-Amerikanische-Packetfahrt-Actien-Gesellschaft,Polskie Towarzystwo Turystyczno-Krajoznawcze,Hamburg,Warsaw
The profession of {} is,Niyi Osundare,Arnold Ruge,poet,journalist
{} can be found in,Brisbane International Film Festival,Heshmatiyeh Prison,Brisbane,Tehran
{} is native to,Luigi Nono,Manuel II Palaiologos,Venice,Constantinople
"In {}, they understand",Bonaire,Stockholm,Dutch,Swedish
{} is in,Seal Nunataks,Vietnam,Antarctica,Asia
{} has a citizenship from,Jean Bobet,Volodymyr Yezerskyi,France,Ukraine
{} is a professional,David Beckham,Terry Crews,soccer,football
{} is developed by,PGM-19 Jupiter,Fiat 500 Moretti Coupé,Chrysler,Fiat
{} is based in,Crawford Composites,Preventice,Denver,Rochester
"{}, founded in",The White Stripes,Joydrop,Detroit,Toronto
{} is in,Ravens Mountains,Volkhov,Antarctica,Europe
{} is in,Pons Aemilius,Lambertseter Line,Rome,Oslo
{} speaks,Giorgio Almirante,Sasha Grey,Italian,French
{} is within,Zion Canyon,Vienna's English Theatre,Utah,Vienna
"{}, produced by",Fiat Uno,Toyota Sprinter Carib,Fiat,Toyota
{} is located in the continent,Monte San Giorgio,Adélie Land,Europe,Antarctica
The language used by {} is,Gilles de Robien,Jacob van Ruisdael,French,Dutch
{} is a twin city of,Beijing,City of Brussels,Jakarta,Kiev
{} is a native speaker of,Kannadasan,Octave Mirbeau,Tamil,French
{}'s profession is an,Hugo Eberlein,Britney Spears,politician,composer
The official language of {} is,United Nations,Loimaa,French,Finnish
{} was created in,Zonophone,"Oldcodex, that",Camden,Tokyo
{} is in,68th Venice International Film Festival,Mynydd Allt-y-grug,Venice,Wales
{} is located in,Sydney Peace Prize,Prakasam district,Australia,India
"{}, who has a citizenship from",Francisco Goya,Takeshi Kitano,Spain,Japan
"{}, from",SCE Studio Liverpool,Engadget,Sony,Yahoo
{} is in,Xaverian Brothers High School,Augathella,Massachusetts,Queensland
{} speaks,Costache Conachi,Sun Yat-sen,Romanian,English
{} speaks,Carl Sigismund Kunth,Kurt Cobain,Latin,English
{} premiered on,Valiant Lady,The Really Wild Show,CBS,BBC
{} is in,Alexandrine grammarians,Mauritiuskirche,Alexandria,Cologne
"{}, from",Florida Championship Wrestling,Cloud Armor,WWE,Google
"{}, the",Magic Johnson,Tom Brady,basketball,football
{} was developed by,Google Earth,Adobe Fireworks,Google,Adobe
{} originates from,Claudio Coello,Franz Adam,Madrid,Milan
{} is written in,Perfil,Papyrus Oxyrhynchus 1,Spanish,Greek
{}'s occupation is,Jean Titelouze,Meryl Streep,composer,actor
{} is located in,Roman Four Promontory,Turkey,Antarctica,Asia
{} is located in,Hundred Years' War,Where is Kyrenia? It,France,Cyprus
{} is located in,Sarpsborg 08 FF,"Maningrida Airport, which",Norway,Australia
The headquarter of {} is in,RoboCop,The Council of Canadians,Detroit,Ottawa
"{}, who is employed by",Simon Brett,Mike Greenberg,BBC,ESPN
"{}, who is employed by",Spencer Kelly,Ghida Fakhry,BBC,CNN
"{}, founded in",McFadden & Whitehead,Safeco,Philadelphia,Seattle
{} performs,Enrique Granados,Larry Coryell,opera,blues
{} was released on,The Octonauts,Mathnet,BBC,PBS
The location of {} is,Cypriot Cup,Galleria d'arte moderna di Firenze,Cyprus,Florence
{} premieres on,Crossing Lines,Lamb Chop's Play-Along,NBC,PBS
What is the twin city of {}? It is,Dublin,Taipei?,Budapest,Bangkok
{} is developed by,Nissan Primera,Cadillac Series 62,Nissan,Cadillac
The language of {} was,The Guarani,Heaven Is Ours,Portuguese,Greek
{} writes in,Berengaria of Castile,Marlene Dietrich,Spanish,French
{} worked in the city of,Magnus Hirschfeld,Robert Scott,Berlin,Edmonton
The location of {} is,Battle of Kasserine Pass,2014 Australian Open,Tunisia,Melbourne
The profession of {} is,Edy Ganem,Jules Hardouin-Mansart,actor,architect
{} originated in,Madeinusa,Asterix and Cleopatra,Spain,Belgium
The occupation of {} is,John Horgan,Georg Adolf Suckow,journalist,chemist
"{}, who works for",Lorne Spicer,Trent Reznor,BBC,Apple
{} is created by,Adobe FreeHand,Eternal Champions,Adobe,Sega
{} is written in,Exame,Severny Vestnik,Portuguese,Russian
"{}, who has the position of",Agilbert,Nader Shah,bishop,Shah
{} took up work in,Derek Conway,Dave Barrett,London,Ottawa
